,Precision@k,Average Precision
128,1.0,0.9952380952380953
129,1.0,0.9916743613419512
130,0.9,0.9171122994652406
131,0.5,0.45748798158895215
132,0.3,0.25582871760301396
133,0.4,0.47178999269252214
134,1.0,0.9453365051045695
135,1.0,1.0
136,0.3,0.2828479891285646
137,0.6,0.4130214875150282
138,1.0,0.8509535227846597
139,0.6,0.45065801199971073
140,0.5,0.45319481375898507
141,0.3,0.1662050349393743
142,0.2,0.19973511020859983
143,1.0,0.8804375699716035
144,1.0,0.8470822041553749
145,0.7,0.6282204603791809
146,0.4,0.3222061837952856
147,0.2,0.22259143296019196
148,0.5,0.44940027281677525
149,0.1,0.018006072299408836
150,0.3,0.2175887750082274
151,0.3,0.25912635546337126
152,1.0,0.9297633236846586
153,1.0,0.872333172147002
154,0.3,0.19257617898476787
155,0.3,0.2632125132366122
156,0.7,0.5459082360731821
157,1.0,1.0
158,0.4,0.2514008851326529
159,0.6,0.4420881505223909
160,0.0,0.015433943960441922
161,1.0,0.9297506738544474
162,0.3,0.20019110315220426
163,0.8,0.5905199426951969
164,0.3,0.2534350357031178
165,0.5,0.36092010366478067
166,0.3,0.20029127710870345
167,0.6,0.40787195135276616
168,0.8,0.6170584951706217
169,1.0,1.0
170,0.7,0.5880286931293921
171,0.1,0.022494683655528765
172,0.2,0.11898679642101354
173,1.0,1.0
174,0.9,0.912860896413528
175,1.0,0.8716592353031231
176,1.0,0.818056823681004
177,0.9,0.8022336017740429
178,0.1,0.02393747795507205
179,1.0,0.9299639473014086
180,0.6,0.3800927984881408
181,0.6,0.41298722204709243
182,0.1,0.08121510308614362
183,0.6,0.7428082718794792
184,1.0,1.0
185,0.6,0.46036821014047447
186,1.0,0.9685314685314685
187,0.6,0.5115783884959098
188,0.4,0.325505349315094
189,1.0,0.9819004524886878
190,0.9,0.7431308942265178
191,0.2,0.16407155521044306
192,1.0,1.0
193,1.0,1.0
194,0.1,0.07380209269930996
195,0.1,0.08607057055005712
196,0.3,0.304234424441827
197,0.9,0.8331401248740603
198,1.0,0.8916594045025418
199,0.2,0.19553294670115556
200,0.1,0.11035721206591206
201,0.2,0.19754083975088604
202,0.6,0.4920073902565271
203,0.4,0.41988650563064844
204,0.7,0.43969376649318515
205,0.5,0.45380517750437893
206,0.2,0.11090129046200947
207,0.6,0.40799962471418927
208,0.0,0.021478769854252407
209,0.2,0.13841189911209467
210,0.8,0.5943857629287175
211,0.8,0.7065295769902841
212,0.8,0.6717945475866397
213,0.2,0.21112652938497467
214,0.1,0.08995188293568904
215,1.0,1.0
216,0.6,0.40117632277910764
217,0.0,0.048435748104124966
218,0.1,0.16085259062949359
219,0.3,0.25466459569857963
220,0.9,0.6069186314657931
221,0.7,0.4502921022603237
222,0.0,0.012604831363722133
223,0.2,0.19435338610019215
224,0.3,0.2968342752723265
225,0.7,0.5100549821120265
226,1.0,0.849831198855088
227,0.9,0.7592918993784017
228,0.8,0.6408281697224121
229,0.4,0.32605794252156844
230,0.1,0.0741302365114539
231,0.4,0.33157198140152316
232,1.0,1.0
233,0.2,0.1066833629221016
234,0.9,0.6069392978368799
235,1.0,0.8674646447251522
236,0.4,0.3410474305555258
237,0.3,0.23754521047283234
238,1.0,0.9387936610608021
239,1.0,0.8928368889841705
240,0.8,0.8097869220151829
241,1.0,1.0
242,1.0,1.0
243,1.0,0.8107303324694629
244,0.7,0.5271510303863245
245,0.0,0.01856022837438931
246,0.2,0.18368731094765495
247,1.0,0.9237348272642391
248,0.6,0.38089627348622923
249,1.0,0.9805194805194806
250,0.5,0.5696343287038775
251,0.2,0.21787917676646604
252,0.5,0.35030417303019207
253,0.0,0.03187839120407932
254,0.7,0.6302610583860584
255,0.8,0.6047673046891129
256,1.0,1.0
257,1.0,0.7945506211322542
258,0.7,0.5099384779456596
259,1.0,0.9496012228748802
260,0.9,0.6808630103685783
261,0.0,0.013395095118819533
262,0.0,0.04316669307787124
263,1.0,1.0
264,1.0,0.8706161401165783
265,0.4,0.3313089406302788
266,1.0,0.9786891679748823
267,0.0,0.0143318088489735
268,0.4,0.35075385662639097
269,1.0,1.0
270,0.4,0.2759031069842732
271,0.5,0.34645765844827064
272,0.0,0.020838720200440534
273,1.0,0.82202442002442
274,0.4,0.40660315064804475
275,0.1,0.10888589032818742
276,1.0,0.8736953242835596
277,1.0,0.9524886877828055
278,0.1,0.1057573975304886
279,0.1,0.04120669096131564
280,1.0,0.9385917030567685
